observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
Interstrand_crosslinks,30,min,1.882062844,0.188206284,ng/ul,A,fig_6b_wt
Interstrand_crosslinks,80,min,1.853061069,0.185306107,ng/ul,A,fig_6b_wt
Interstrand_crosslinks,120,min,1.736934556,0.173693456,ng/ul,A,fig_6b_wt
Interstrand_crosslinks,180,min,1.668145494,0.166814549,ng/ul,A,fig_6b_wt
Interstrand_crosslinks,240,min,1.548532414,0.154853241,ng/ul,A,fig_6b_wt
Interstrand_crosslinks,30,min,1.89,0.188684302,ng/ul,B,fig_6b_eerr
Interstrand_crosslinks,80,min,1.88,0.18791097,ng/ul,B,fig_6b_eerr
Interstrand_crosslinks,120,min,1.83,0.18312127,ng/ul,B,fig_6b_eerr
Interstrand_crosslinks,180,min,1.78,0.177560179,ng/ul,B,fig_6b_eerr
Interstrand_crosslinks,240,min,1.81,0.180603333,ng/ul,B,fig_6b_eerr
Interstrand_crosslinks,30,min,1.91,0.190830943,ng/ul,C,fig_6b_kree
Interstrand_crosslinks,80,min,1.85,0.184805284,ng/ul,C,fig_6b_kree
Interstrand_crosslinks,120,min,1.79,0.178909353,ng/ul,C,fig_6b_kree
Interstrand_crosslinks,180,min,1.76,0.175702076,ng/ul,C,fig_6b_kree
Interstrand_crosslinks,240,min,1.77,0.177171242,ng/ul,C,fig_6b_kree
Interstrand_crosslinks,30,min,1.87,0.187326827,ng/ul,D,fig_6b_d2_bkgrd
Interstrand_crosslinks,80,min,1.85,0.185068064,ng/ul,D,fig_6b_d2_bkgrd
Interstrand_crosslinks,120,min,1.85,0.184950566,ng/ul,D,fig_6b_d2_bkgrd
Interstrand_crosslinks,180,min,1.82,0.181987359,ng/ul,D,fig_6b_d2_bkgrd
Interstrand_crosslinks,240,min,1.84,0.183537434,ng/ul,D,fig_6b_d2_bkgrd
